study,binge_location,binge_date,subject_id,treatment,sex,early_death,weight_day1,weight_day2,weight_day3,weight_day4,mean_intox,dose_day1,dose_day2,dose_day3,dose_day4,mean_withdrawal,peak_withdrawal,mean_bec,beh_1_1,beh_1_2,beh_1_3,beh_2_1,beh_2_2,beh_2_3,beh_3_1,beh_3_2,beh_3_3,beh_4_1,beh_4_2,beh_4_3,with_10,with_11,with_12,with_13,with_14,with_15,with_16,with_17,with_18,with_19,with_20,with_21,with_22,with_23,with_24,with_25,with_26,
srtx4,texas,1/3/2022,11,control,female,no,226,216,206,200,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx4,texas,1/3/2022,12,control,female,no,209,196,187,183,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx4,texas,1/3/2022,13,control,female,no,209,184,172,169,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx4,texas,1/3/2022,14,control,female,no,210,198,190,186,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx4,texas,1/3/2022,15,control,female,no,231,210,204,199,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srtx4,texas,1/3/2022,16,control,female,no,212,197,189,184,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,25,ethanol,male,no,362,352,337,330,1.770833333,15,8,8,12,0.458823529,2.6,456.6,0,0,0,3,2,2,3,3,1,3,0,0,0,0,0,0,0,0,0,2.6,0,2.6,0,2.6,0,0,0,0,0,
fear2,texas,5/1/2022,26,ethanol,male,no,400,370,356,341,1.479166667,14,10,8,13,1.270588235,3,447.7,0,0,1,2,2,1,3,3,1,2,0,0,0,2.2,3,0,0,0,2.6,1,1.4,2.6,2.6,2.6,2.6,0,1,0,0,
fear2,texas,5/1/2022,27,ethanol,male,no,321,304,287,277,1.25,15,13,13,7,2.175,3.6,346.3,0,0,0,0,1,1,0,1,1,4,3,1,3,3.6,3.6,1,3,1.6,3,,3,3,3,3,3,0,0,1,0,
fear2,texas,5/1/2022,28,ethanol,male,no,350,319,296,284,1.979166667,15,5,9,12,0.905882353,3.2,491.025,0,0,0,4,4,2,2,2,2,2,1,0,1,1,1,1,1,0,1,2.6,3.2,0,0,0,2.6,0,1,0,0,
fear2,texas,5/1/2022,29,ethanol,male,no,406,384,368,363,1.5625,15,10,9,11,0.6,2.6,398.2666667,0,0,0,2,1,2,3,2,1,2,1,1,0,0,0,0,0,0,0,2.6,1,1,2.6,0,1,1,1,0,0,
fear2,texas,5/1/2022,30,ethanol,male,no,374,357,333,328,2.083333333,15,5,7,13,0.529411765,3,355.7,0,0,0,4,3,3,4,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,1,1,
fear2,texas,5/1/2022,31,ethanol,male,no,398,375,361,355,1.583333333,14,9,8,13,0.058823529,1,431.4333333,0,1,0,2,2,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
fear2,texas,5/1/2022,32,ethanol,male,no,363,347,328,319,1.770833333,15,7,8,13,0.529411765,3,408.175,0,0,0,4,3,1,2,3,2,1,0,1,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,
fear2,texas,5/1/2022,33,ethanol,male,no,385,350,341,326,1.3125,12,11,8,14,0.376470588,3.8,411.3666667,0,0,3,1,2,1,2,3,2,1,0,0,0,3.8,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,
fear2,texas,5/1/2022,34,ethanol,male,no,384,366,357,343,1.666666667,15,8,10,11,1,2.6,348.2666667,0,0,0,3,3,1,2,2,1,3,1,0,2.6,1,0,0,0,0,0,0,2.6,2.6,2.6,0,1,0,2.6,1,1,
fear2,texas,5/1/2022,35,ethanol,male,no,354,336,321,312,2.1875,15,10,11,3,2.182352941,3.6,424.725,0,0,0,1,2,2,1,3,0,4,4,4,3,3,3,3,1,3,3,2.4,2.6,3,2.6,2.6,0,1.3,0,3.6,0,
fear2,texas,5/1/2022,36,ethanol,male,no,422,389,362,354,2.083333333,15,4,8,13,1.035294118,3.6,414.075,0,0,0,3,4,4,4,1,2,1,0,1,3,3.4,0,0,3.6,0,0,1,0,3,0,0,2.6,1,0,0,0,
fear2,texas,5/1/2022,37,ethanol,male,no,342,314,297,290,1.854166667,11,8,9,11,1.564705882,3.6,359.7333333,0,1,3,2,3,2,2,2,2,2,1,1,3,3,3,3,0,2.4,0,2.4,0,0,3.6,2.6,0,2.6,0,0,1,
fear2,texas,5/1/2022,38,ethanol,male,no,337,312,283,274,2.125,13,5,8,12,0.329411765,2.6,470.4,0,1,1,4,3,3,3,2,2,1,1,1,0,2.6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,
fear2,texas,5/1/2022,39,control,male,no,407,378,360,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,40,control,male,no,379,365,348,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,41,control,male,no,373,353,336,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,42,control,male,no,400,384,366,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,43,control,male,no,390,374,359,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,44,control,male,no,369,348,337,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,45,control,male,no,405,378,364,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,46,control,male,no,417,395,379,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,47,control,male,yes,344,322,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,48,control,male,no,333,311,297,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,49,ubc,male,no,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,50,ubc,male,no,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,51,ubc,male,no,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear2,texas,5/1/2022,52,ubc,male,no,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,53,ethanol,male,no,345,320,300,273,2.56,13,3,9,7,2.29,3,482,0,0,2,4,4,4,3,0,3,2,3,2,3,3,0,1.4,3,2.4,2.4,1.6,2.6,2.4,3,3,3,3,2.6,2.6,0,
fear3,texas,6/1/2022,54,ethanol,male,no,330,307,288,293,2.67,14,6,7,9,3.22,3.8,592,0,0,1,4,3,2,3,3,2,4,3,1,3.8,3.8,3.8,3,3.8,3.8,3.8,3,3,2.6,3,2.6,3,3.8,3,2.6,2.4,
fear3,texas,6/1/2022,55,ethanol,male,no,334,318,298,286,2.02,15,6,9,10,2.21,3.8,559,0,0,0,1,4,4,2,2,2,1,2,1,0,0,3,0,2.6,3,3.8,3,2.6,3,2.6,3,3,0,2.6,3,2.4,
fear3,texas,6/1/2022,56,ethanol,male,no,335,324,290,282,2.73,15,3,9,10,2.84,3.8,539,0,0,0,4,4,4,2,3,1,4,3,1,3.8,3.8,3.8,3.4,3,0,3.8,3.8,3.8,3,2.6,2.4,3,3,2.6,0,2.4,
fear3,texas,6/1/2022,57,ethanol,male,no,320,299,286,269,2.52,13,6,6,10,1.72,3,555,0,0,2,3,4,2,3,3,3,3,1,1,0,3,0,0,0,2.6,0,3,3,3,3,3,3,2.6,3,0,0,
fear3,texas,6/1/2022,58,ethanol,male,no,311,286,269,258,2.9,12,5,7,8,1.8,3,570,0,0,3,4,4,2,3,3,2,4,4,1,3,0,0,0,0,3,0,3,3,3,2.6,3,3,3,3,0,1,
fear3,texas,6/1/2022,59,ethanol,male,no,319,293,272,260,3,13,3,7,8,2.2,3,564,0,0,2,4,4,4,4,2,2,3,3,2,3,3,0,0,3,1.6,3,2.6,2.4,2.6,3,3,3,2.6,3,0,1.6,
fear3,texas,6/1/2022,60,ethanol,male,no,336,303,285,268,2.9,12,4,5,9,1.64,3.8,526,0,0,3,3,4,4,4,3,3,2,1,2,0,3.4,3.8,2.6,0,0,0,2.6,0,3,2.4,3,3,1,1,1,1,
fear3,texas,6/1/2022,61,ethanol,male,no,346,333,307,290,2.08,15,9,7,10,2.28,3.6,499,0,0,0,2,3,1,3,3,2,2,3,0,3.4,0,3,2.6,0,0,2.4,3,3.6,2.4,3,2.6,2.4,2.4,3,2.4,2.6,
fear3,texas,6/1/2022,62,ethanol,male,no,350,324,306,302,1.58,15,8,11,11,2.45,3.8,499,0,0,0,3,3,1,1,2,1,1,2,1,3,3.8,2,3,2.4,2.4,2.4,3,2.4,0,2.6,3,2.6,3,3,3,0,
fear3,texas,6/1/2022,63,ethanol,male,no,298,281,261,257,2.35,14,4,10,9,2.11,3.8,493,0,0,1,4,4,3,1,2,2,3,3,1,3,2.2,0,3,3,0,3.8,1.6,3,3,3,3,2.6,3,0,0,1.6,
fear3,texas,6/1/2022,64,ethanol,male,no,338,326,306,295,2.15,15,7,9,9,1.2,3,527,0,0,0,1,4,3,3,2,1,1,3,2,0,0,0,0,0,1.4,2.4,0,0,3,0,3,2.6,0,2.6,2.4,3,
fear3,texas,6/1/2022,65,ethanol,male,yes,349,317,,,,11,6,15,15,,0,,0,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,66,ethanol,male,no,330,308,294,282,2.46,12,9,6,8,0.67,4,568,0,0,3,3,2,1,3,4,2,2,2,3,0,0,0,0,0,4,,,,,,,,,,,,
fear3,texas,6/1/2022,67,ethanol,male,no,357,324,301,288,2.73,11,6,6,9,1.47,3,545,0,0,4,3,4,2,4,3,2,3,2,2,2.6,0,2.4,0,1.4,2.4,0,2.4,2.6,2.6,0,3,2.6,0,3,0,0,
fear3,texas,6/1/2022,68,ethanol,male,no,336,323,300,290,2.17,14,8,6,10,1.07,3,486,0,1,0,1,3,3,2,4,3,3,1,1,0,0,0,0,0,1.4,2.6,0,0,2.6,3,3,3,2.6,0,0,0,
fear3,texas,6/1/2022,69,ethanol,male,yes,338,309,295,,,13,5,3,15,,,530,0,0,2,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,70,ethanol,male,yes,333,309,286,,,14,6,11,15,,,,0,0,1,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,71,control,male,yes,322,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,72,control,male,yes,322,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,73,control,male,yes,333,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,74,control,male,no,330,308,294,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,75,control,male,no,350,327,313,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,76,control,male,no,325,311,301,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,77,control,male,no,350,327,313,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,78,control,male,no,338,316,297,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,79,control,male,no,336,324,308,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,80,control,male,no,341,322,311,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,81,control,male,no,339,320,308,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,82,control,male,no,327,308,297,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,83,control,male,no,354,328,317,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,84,control,male,no,312,295,285,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,85,ubc,male,no,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,86,ubc,male,no,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,87,ubc,male,no,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear3,texas,6/1/2022,88,ubc,male,no,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,117,ethanol,female,no,246,227,216,214,1.5,10,9,9,14,1.68,3,370.4,0,0,5,3,1,2,3,1,2,1,0,0,0,2.6,0,0,0,0,2.4,2.4,2.4,2.4,2.4,1.4,2.4,2.4,3,2.4,2.4,
fear5,texas,7/30/2022,118,ethanol,female,no,264,249,238,233,1.3,15,7,10,13,0.82,3,431.6,0,0,0,4,3,1,2,2,1,2,0,0,0,0,0,1,1,1,1,0,0,1,3,3,0,0,3,0,0,
fear5,texas,7/30/2022,119,ethanol,female,no,260,253,236,224,1.7,14,8,5,13,0.71,3,456.4,0,0,1,2,3,2,2,4,4,2,0,0,1,0,0,1,0,0,1,1,3,0,1,1,0,3,0,0,0,
fear5,texas,7/30/2022,120,ethanol,female,no,262,246,230,226,1.2,15,7,10,14,1.56,3.8,442.6,0,0,0,4,3,1,1,3,1,1,0,0,3,3,3,3.8,0,2.4,0,0,0,2.4,3,3,0,3,0,0,0,
fear5,texas,7/30/2022,121,ethanol,female,no,260,245,235,227,1.6,12,6,9,14,1.45,3.4,403.6,0,1,2,3,3,3,1,3,2,1,0,0,3,3,0,1,1,3,0,1.6,0,3.4,1.4,1.6,0,0,3,0,2.6,
fear5,texas,7/30/2022,122,ethanol,female,no,264,243,236,229,1.5,12,8,10,12,0.62,3,406.6,0,0,3,3,2,2,1,3,1,3,0,0,0,3,0,0,0,0,0,0,0,1,2.6,0,3,0,1,0,0,
fear5,texas,7/30/2022,123,ethanol,female,no,272,258,244,242,1.4,13,7,10,13,0.12,1,443,0,0,2,4,2,2,1,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
fear5,texas,7/30/2022,124,ethanol,female,no,269,254,243,235,1.3,15,7,9,14,0.41,1,481.2,0,0,0,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,
fear5,texas,7/30/2022,125,ethanol,female,yes,245,227,,,,14,6,15,15,,0,,0,0,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,126,ethanol,female,no,260,256,243,231,1.8,15,5,8,11,1.02,3,442.7,0,0,0,4,3,3,4,3,0,4,0,0,0,3,0,0,0,1,2.4,0,1,3,0,0,0,3,3,0,1,
fear5,texas,7/30/2022,127,ethanol,female,no,270,247,230,222,1.4,15,3,10,15,1.39,3.4,453.4,0,0,0,4,5,3,1,2,2,0,0,0,3,0,1,0,3.4,1,0,1,1,0,2.6,3,3,2.6,1,0,1,
fear5,texas,7/30/2022,128,ethanol,female,no,275,249,242,240,1.3,12,8,11,14,0.24,3,363.2,0,0,3,3,3,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
fear5,texas,7/30/2022,129,control,female,yes,266,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,130,control,female,yes,265,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,131,control,female,no,265,263,254,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,132,control,female,no,280,252,238,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,133,control,female,yes,268,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,134,control,female,no,266,248,237,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,135,control,female,no,263,244,237,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,136,control,female,no,257,248,244,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,137,control,female,no,272,261,247,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,138,control,female,no,255,241,234,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,139,control,female,no,259,244,237,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,140,control,female,no,258,250,245,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,141,ubc,female,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,142,ubc,female,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,143,ubc,female,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear5,texas,7/30/2022,144,ubc,female,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,1,ethanol,female,no,220,206.7,198,185.8,2.08,15,9,4,7,,,435.93,0,0,0,1,2,3,4,4,3,3,2,3,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,2,ethanol,female,no,223,203.8,196,186.4,1.67,15,8,6,11,,,404.77,0,0,0,1,3,3,3,3,3,2,0,2,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,3,ethanol,female,no,239.2,228.6,218,209,1.5,15,11,5,11,0.84,3.6,370.03,0,0,0,1,1,2,1,4,5,4,0,0,0,3,0,3,3.6,3.6,0,0,0,0,0,0,2,0,0,0,0,
dth1,kentucky ,9/1/2017,4,ethanol,female,no,229.4,215,207,193,1.67,15,8,6,11,2.14,3.8,444.47,0,0,0,0,3,4,4,2,3,2,1,1,0,0,0,3.4,3.4,3.4,3,3,3,3,0,3,1,3,3.8,3,2.6,
dth1,kentucky ,9/1/2017,5,ethanol,female,yes,230.3,,,,,10,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,6,ethanol,female,no,218,209,199,190,1.75,15,11,5,8,0.84,3.2,409.67,0,0,0,1,1,2,2,4,4,4,1,2,0,0,0,3,0,0,0,3,3,0,3.2,3,0,0,0,0,0,
dth1,kentucky ,9/1/2017,7,ethanol,female,no,256,234,225,211,2,15,8,2,11,,,430.07,0,0,0,2,3,2,5,4,4,1,2,1,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,8,ethanol,female,no,220,210,203,198,1.33,15,10,12,7,,,273.27,0,0,0,1,3,1,1,0,2,2,3,3,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,9,ethanol,female,no,217,200,190,184,2.17,15,2,9,8,,,297.03,0,0,0,5,5,3,2,0,4,4,3,0,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,10,ethanol,female,no,230,209,195,185,2.42,15,5,7,4,,,433.33,0,0,0,3,5,2,3,2,3,2,5,4,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,11,ethanol,female,no,229,219,207,202,2,15,10,4,7,0.17,3,267.53,0,0,0,0,2,3,3,4,4,3,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
dth1,kentucky ,9/1/2017,12,ethanol,female,no,223,205,197,190,1.42,15,10,6,12,1,3.8,452.33,0,0,0,1,1,3,3,4,2,2,1,0,0,0,0,0,0,2.6,0,0,0,0,0,0,3,2.6,3,3,3.8,
dth1,kentucky ,9/1/2017,13,ethanol,female,no,225,205,198,189,1.58,14,5,10,12,3,0.94,432.63,0,0,1,3,5,2,1,3,1,2,1,0,0,0,0,0,0,0,2,2,0,2.4,0,2.4,0,0,0,2.6,2.6,
dth1,kentucky ,9/1/2017,14,ethanol,female,no,231,207,201,190,1.17,14,9,11,12,2.6,0.28,382.43,0,0,1,3,1,2,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,2.6,0,
dth1,kentucky ,9/1/2017,15,ethanol,female,yes,220,197,186,,,14,8,11,0,,,392.73,0,0,1,3,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,16,ethanol,female,no,226,214,201,194,1.33,15,8,10,11,3.6,1.1,416.27,0,0,0,3,1,3,3,2,0,3,1,0,0,3.6,3,0,3,0,2.4,0,2.4,0,3,0,0,0,2.6,0,0,
dth1,kentucky ,9/1/2017,17,ethanol,female,yes,238,224,214,,,15,14,13,0,,,341.97,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,18,ethanol,female,no,233,213,204,198,2.08,15,5,9,6,3.8,2.4,342.8,0,0,0,3,4,3,3,1,2,3,3,3,0,2.6,2.6,2.6,3,2.6,0,3,3,3,2.4,3,3.8,3.8,2,2,1.4,
dth1,kentucky ,9/1/2017,19,ethanol,female,no,226,209,200,197,1.92,14,7,9,7,,,461.77,0,0,1,3,3,2,1,4,1,3,5,0,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,20,ethanol,female,no,227,212,202,194,1.42,15,12,8,9,,,420.43,0,0,0,0,1,2,2,3,3,3,1,2,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,21,control,female,no,240,222,214,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,22,control,female,no,232,218,209,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,23,control,female,no,225,221,214,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,24,control,female,no,217.5,211,200,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,25,control,female,no,248,212,230,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,26,control,female,no,213,240,203,222.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,27,control,female,no,220,208,201,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,28,control,female,no,223,215,203,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,29,control,female,no,229,215,203,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,30,control,female,no,218,220,211,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,31,control,female,no,222,205,200,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,32,control,female,no,220,210,207,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,33,control,female,no,230,218,211,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,34,control,female,no,229,215,210,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,35,control,female,no,220,205,199,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,36,control,female,no,230,217,211,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,37,control,female,no,241,227,220,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,38,control,female,no,230,216,213,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,39,control,female,no,233,221,216,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dth1,kentucky ,9/1/2017,40,control,female,no,222,216,210,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub1,kentucky ,10/1/2012,1,ethanol,male,no,328.4,307.3,284.9,272.5,2.083333333,14,6,8,7,1.266666667,3.6,443.6,0,0,1,3,3,3,4,2,1,3,3,2,2.2,0,0,0,2.4,0,3,2.4,0,0,2.6,0,0,0,3.6,3.6,3,
gub1,kentucky ,10/1/2012,2,ethanol,male,no,310.4,299.4,281.2,273.2,1.75,15,8,8,8,1.533333333,3.8,300.8666667,0,0,0,1,3,3,3,2,2,3,2,2,0,0,0,0,0,1.6,0,1.4,3.8,3.8,3.6,1.6,1.4,1.6,1.6,1.4,3.4,
gub1,kentucky ,10/1/2012,3,ethanol,male,no,306.3,312.9,293.2,275.4,1.333333333,15,13,9,7,2.9,3.8,363.0333333,0,0,0,0,1,1,2,2,2,4,2,2,3,3,3,3,1.6,2.4,3.8,3,2.4,3.6,3,3,2.4,3,3,2.6,2.6,
gub1,kentucky ,10/1/2012,4,ethanol,male,no,310.4,294.9,279.6,263.6,2.333333333,15,4,6,7,2.077777778,3.8,399.2333333,0,0,0,3,4,4,4,3,2,3,3,2,3,3,0,3,0,0,0,3,0,3,3,3.8,2.4,2.4,3,3,2.4,
gub1,kentucky ,10/1/2012,5,ethanol,male,no,312.2,301.8,280.7,269.1,1.75,15,10,7,7,1.388888889,3.8,357.4333333,0,0,0,1,2,2,2,3,3,2,2,4,0,0,0,0,0,3,0,3.8,3.8,3.8,3.8,3.8,3,0,0,0,0,
gub1,kentucky ,10/1/2012,6,ethanol,male,no,335.9,322,303.3,290.6,1.916666667,15,7,7,8,1.322222222,3.6,363.5,0,0,0,3,3,2,3,3,2,3,2,2,3.6,3.6,3.6,0,0,2,2,0,0,3,3,3,0,0,0,0,0,
gub1,kentucky ,10/1/2012,7,ethanol,male,no,310.6,284,269.4,256.4,2,14,5,8,9,2.511111111,3.8,391.8333333,0,0,1,3,4,3,3,2,2,2,2,2,3,3.8,3,3,0,3,3.6,3,3,3.6,3,3,2.4,2.4,3,2.4,0,
gub1,kentucky ,10/1/2012,8,ethanol,male,no,313.5,302.4,279.7,268.3,2.083333333,15,5,11,4,1.777777778,3.8,394,0,0,0,4,3,3,2,1,1,3,4,4,3,0,0,3,3.8,3,2.4,3,3,0,0,0,0,3,2.4,3,0,
